도서명,저자,출판사,출판일,정가,판매가,도서 소개,판매지수,평점,책 이미지 URL
자기계발 지혜,무공 김낙범,작가와,2025-06-30,9900,9900,"이 책은 짧은 사자성어가 전해주는 지혜는 자기계발을 하고자 하는 이들에게 스스로 이룰 수 있는 동력이 되어줄 것입니다. 각 장에는 자기계발을 실천할 수 있는 네 개의 사자성어가 각각 이야기를 펼치며 교훈을 전달합니다. 이야기속에서 전하는 교훈으로 독자 스스로 자기계발에 대한 지혜를 구하기를 제안합니다.   <br/>이 책을 통해 마음가짐을 바로 세우고 행동하며 성장하고, 결국 자기계발로 실천하는 자신을 만들어 갈 수 있다면 나는 작가로서 더할 나위 없이 보람을 느낄 것입니다. <br/>",240,0.0,
요즘 애들을 위한 슬기로운 재테크 생활,조혜경,원앤원북스,2020-06-05,15000,13500,"<b>“오늘도 월급이 통장을 스친다.”<br/>아아, 그는 좋은 월급이었습니다…</b><br/><br/>한 달 내내 월급날만을 기다렸지만 행복은 잠시뿐, 월급은 통장을 가볍게 스쳐지나간다. 각종 카드사와 보험사의 공세에 월급은 온데간데없이 사라진다. 돈 쓰는 게 세상에서 제일 재미있고, 재테크는 남 일 같다고 여기는 밀레니얼 세대를 위한 재테크 책이 나왔다. “돈 관리 어떻게 하세요?”라는 질문에 “매달 적금 넣고 있어요.”라거나 “엄마가 대신 관리해주고 있어요.”라고 답하는 사람이 아직도 있는가? 혹은 주식에 대한 이해 없이 직장",108,9.4,
AI 핀테크와 재테크,임명수,커뮤니케이션북스,2024-12-23,12000,12000,"AI와 핀테크 기술이 금융과 재테크 분야를 어떻게 혁신하는지 탐구한다. AI 기반 로보어드바이저와 자동화 시스템은 개인 투자자들에게 맞춤형 자산 관리와 투자 전략을 제공하며, 금융 시장의 접근성을 높인다. 그러나 데이터 프라이버시, 알고리즘 편향성 등 윤리적 문제도 동반된다. AI와 핀테크 기술을 효과적으로 활용한 재테크 전략과 함께 윤리적 기준을 고려한 금융 서비스의 미래를 제시한다.<br/>",120,10.0,
리모델링으로 재테크하라,토미,책수레,2022-07-07,18000,16200,"<b>리모델링을 알면 부동산 가치가 바뀐다!<br/>리스크 없는 부동산 투자, 리모델링이 답이다!</b><br/><br/>1인 가구와 2인 가구가 늘어나고 있다. 이에 발맞춰 거주하는 공간에 대한 관심도 더욱 커지고 있다. 누구나 자신만의 개성 있는 공간을 뽐내고 싶어하고, 깨끗하고 멋진 신축 주택을 원한다. 그러나 모두가 가질 순 없다. 신축 주택을 매수하기 어렵다면 리모델링이 답이다. 리모델링으로 공간을 바꾸면 주택 가치가 올라간다. 부동산을 팔 때, 임대를 놓을 때 제값을 받을 수 있다. 누구나 저렴한 비용으로 집의 가치를 올",162,9.7,
MZ의 재테크와 자산관리,정기만,신영사,2023-08-25,23000,23000,"현대를 사는 우리들 중 재테크에 관심 없는 사람이 얼마나 될까요? 대부분 관심이 있을 것입니다. 자본주의 경제를 사는 우리들이 재테크에 관심을 갖는 것은 자연스러운 일입니다. 그런 만큼 연일 여기저기서 재테크와 관련된 정보와 주장들이 쏟아지고 있습니다. 포털사이트에서 ‘연금’을 검색해 보면 숨이 막힐 정도로 많은 정보가 나타납니다. 어느 정보가 내게 유용한 정보인지, 어느 정보가 소위 ‘낚시성 정보’인지 구분하기도 쉽지 않습니다. 내가 다른 사람보다 재테크에서 뒤떨어지고 있는 것은 아닌지 걱정스럽고 초조해집니다. 마음도 급해집니다.",1068,0.0,
꼬마빌딩 재테크 무작정 따라하기,"허윤경,신동원",길벗,2020-12-15,17000,15300,"<b>노후까지 걱정 없이 월세 받는 수익형 부동산 투자법<br/>꼬마빌딩 재테크 무작정 따라하기<br/><br/>“부자들은 결국 부동산으로 자산을 불리더라”</b><br/><br/>저자 허윤경은 2005년부터 강남에서 공인중개사로 부동산 일을 시작했다. 부자들이 어떻게 자산을 불리는지 십수 년을 곁에서 지켜보니, 그 중심에는 수익형 부동산인 ‘꼬마빌딩’이 있었다고 한다. 투자자(건축주)를 챙기느라 정작 자신의 것을 놓쳐버렸다고 생각한 그녀는 살고 있던 아파트를 처분하고 꼬마빌딩을 지어 건물주가 되었다. 다달이 들어오는 월세 덕분에 ",240,8.6,
미리 알면 돈 버는 교사 연금설계 재테크,김선후,테크빌교육,2025-03-31,18000,16200,"<B>연금이 미래의 문제가 아니라, 바로 지금의 문제인 이유<br/>연금을 알아야 오늘의 저축, 투자, 지출을 똑똑하게 결정할 수 있다!<br/></B><br/>저자는 재무설계사 자격을 갖춘 현직 교사로, 평범한 교사가 월급만으로도 잘 먹고 잘 사는 방법에 대해 연구하고 있습니다. 이 책은 교사들이 퇴직 후 수령할 연금의 구조와 논리, 액수를 보다 구체적으로 이해하고, 백워드 방식으로 현재의 수당, 투자, 지출 등 다양한 경제적 결정을 보다 현명하게 내리도록 돕는 데 초점을 맞춘 책입니다. 젊을 때 불안감 없이 행복하게 소비하고, ",11148,9.9,
글쓰기 재테크,Writers in BJ,밥북,2021-04-22,12000,10800,"<b>글쓰기를 재테크에 비유하여 풀어낸 Writers in BJ 글벗들의 글</b><br/><br/>중국 베이징에 살며 글을 쓰는 이들의 모임인 ‘Writers in BJ’의 작품집이다. 모임을 이끄는 윤소희 작가와 함께 9명의 글벗이 참여하여 탄생한 이번 책은 글쓰기를 재테크에 비유하여 구성했다. 이에 따라 각 장을 종잣돈, 분산투자, 부동산, 주식과 펀드, 금투자, 세금, 연금 등으로 나누고, 각 장은 아홉 명 글벗들의 글로 채워진다. <br/><br/>작가들은 “이 책에는 눈부시게 수줍은 사랑 이야기에서, 삶을 뒤틀어 사뿐사뿐",42,0.0,
유튜브 쇼츠 60초 재테크,김선웅,성안당,2024-09-11,23000,20700,"<b>“60초 쇼츠 영상으로 수익을 창출한다”</b><br> <br> 광고처럼 짧고 빠르게 지나가는 영상인 쇼츠는 틱톡과 릴스 등 다양한 플랫폼에서 폭발적인 인기로 엔터산업 및 관련업계에서 홍보용으로 많이 사용되었다. 댄스나 밈 등으로 청소년들에게 인기를 끌던 이 영상들이 유튜브 쇼츠로 오면서 다양한 콘텐츠의 장이 되었다. <br> 유튜브 쇼츠는 크리에이터가 장르나 연령에 구애받지 않고 자유롭게 콘텐츠를 제작할 수 있는 플랫폼으로, 최신 트렌드에 맞는 뉴스나 이슈를 60초 안에 편집한 영상, 일상 속 재미있는 순간을 편집 없이 촬영",7110,9.8,
대한민국 20대 재테크에 미쳐라,정철진,한스미디어,2006-10-16,12000,10800,"지금 사회에 첫발을 딛는 우리의 젊은이들에게 평생을 함께 할 수 있는 올바른 재테크 습관을 전해줌으로써 건강한 부, 행복한 부를 성취할 수 있도록 돕는 책. 이 책은 재테크를 ‘저급한 투기의 기술’이나, 단숨에 목돈을 만질 수 있는 ‘한탕의 테크닉’ 정도로 오인하고 있는 젊은이들에게 재테크의 진정한 의미와 올바른 방법들을 알려준다. 저자는 진정한 부는 ‘버는 돈’이 아닌 ‘모으는 돈’에서 완성된다고 말하고 있다. 계획적이고 효율적인 돈 관리와 꾸준한 노력과 연구로 이루어지는 ‘투자’만이 진정한 ‘부’를 안겨줄 수 있다는 것이다.",120,8.4,
